loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,target
24000.0,0.0819,754.18,MORTGAGE,153000.0,Not Verified,n,32.2,1.0,1.0,35.0,0.0,36233.0,49.0,w,0.0,0.0,26193.29,26193.29,24000.0,2193.29,0.0,0.0,0.0,14891.51,0.0,1.0,Joint App,0.0,0.0,788429.0,2.0,9.0,2.0,5.0,5.0,158720.0,60.0,3.0,4.0,10037.0,38.0,164100.0,2.0,0.0,2.0,9.0,22527.0,113018.0,20.4,0.0,0.0,169.0,179.0,10.0,5.0,3.0,10.0,5.0,0.0,12.0,15.0,18.0,20.0,16.0,24.0,30.0,15.0,35.0,0.0,0.0,0.0,5.0,98.0,5.6,0.0,0.0,1088284.0,194953.0,141900.0,214684.0,N,N,low_risk
7350.0,0.0756,228.84,RENT,54538.0,Source Verified,n,20.44,0.0,1.0,18.0,1.0,4433.0,36.0,f,3472.32,3472.32,4573.71,4573.71,3877.68,696.03,0.0,0.0,0.0,228.84,0.0,1.0,Individual,0.0,0.0,26233.0,1.0,5.0,1.0,3.0,10.0,21800.0,67.0,1.0,3.0,3516.0,33.0,46700.0,3.0,7.0,3.0,6.0,1457.0,14557.0,21.3,0.0,0.0,141.0,149.0,5.0,5.0,0.0,5.0,5.0,0.0,1.0,7.0,3.0,5.0,17.0,13.0,19.0,8.0,18.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,0.0,79125.0,26233.0,18500.0,32425.0,N,N,low_risk
4000.0,0.08810000000000001,126.85,MORTGAGE,36578.0,Not Verified,n,4.49,1.0,1.0,4.0,0.0,3132.0,17.0,w,2131.39,2131.39,2279.38,2279.38,1868.61,410.77,0.0,0.0,0.0,126.85,0.0,1.0,Individual,0.0,0.0,87929.0,1.0,1.0,0.0,1.0,15.0,1021.0,41.0,1.0,1.0,3132.0,18.0,21000.0,2.0,2.0,4.0,3.0,21982.0,17868.0,14.9,0.0,0.0,83.0,273.0,6.0,6.0,3.0,6.0,1.0,0.0,1.0,1.0,2.0,3.0,6.0,2.0,8.0,1.0,4.0,0.0,0.0,1.0,1.0,88.2,0.0,0.0,0.0,108500.0,4153.0,21000.0,2500.0,N,N,low_risk
15000.0,0.17739999999999997,540.34,MORTGAGE,67000.0,Verified,n,23.41,0.0,1.0,9.0,0.0,10388.0,30.0,w,8484.68,8484.68,9696.55,9696.55,6515.32,3181.23,0.0,0.0,0.0,540.34,0.0,1.0,Individual,0.0,0.0,203812.0,0.0,4.0,1.0,6.0,8.0,49828.0,89.0,2.0,2.0,5102.0,88.0,12700.0,3.0,3.0,5.0,8.0,22646.0,2090.0,82.6,0.0,0.0,242.0,119.0,11.0,8.0,1.0,11.0,1.0,1.0,3.0,4.0,3.0,3.0,24.0,4.0,5.0,4.0,9.0,0.0,0.0,0.0,3.0,86.7,66.7,0.0,0.0,217993.0,60216.0,12000.0,55822.0,N,N,low_risk
5250.0,0.0756,163.46,MORTGAGE,48000.0,Source Verified,n,15.83,0.0,0.0,7.0,1.0,3662.0,28.0,w,0.0,0.0,5259.93,5259.93,5250.0,9.93,0.0,0.0,0.0,5265.44,0.0,1.0,Individual,0.0,0.0,31600.0,2.0,1.0,1.0,1.0,6.0,27938.0,97.0,2.0,5.0,1791.0,56.0,27300.0,0.0,1.0,1.0,6.0,4514.0,9879.0,16.3,0.0,0.0,130.0,186.0,4.0,4.0,0.0,16.0,4.0,0.0,2.0,4.0,2.0,8.0,9.0,6.0,19.0,4.0,7.0,0.0,0.0,0.0,3.0,100.0,0.0,1.0,0.0,56013.0,31600.0,11800.0,28713.0,N,N,low_risk
34025.0,0.14300000000000002,1167.86,RENT,36540.0,Verified,n,17.21,0.0,2.0,8.0,0.0,8748.0,14.0,w,20712.71,20712.71,19826.59,19826.59,13312.29,6514.3,0.0,0.0,0.0,1167.86,0.0,1.0,Joint App,0.0,0.0,16528.0,1.0,1.0,0.0,0.0,37.0,7780.0,59.0,2.0,3.0,3092.0,38.0,30200.0,1.0,0.0,2.0,3.0,2066.0,20511.0,29.3,0.0,0.0,90.0,147.0,2.0,2.0,0.0,9.0,2.0,0.0,5.0,6.0,6.0,7.0,5.0,7.0,9.0,6.0,8.0,0.0,0.0,0.0,2.0,100.0,50.0,0.0,0.0,43483.0,16528.0,29000.0,13283.0,N,N,low_risk
12000.0,0.124,400.87,RENT,60000.0,Source Verified,n,34.16,0.0,1.0,8.0,0.0,18161.0,22.0,f,6166.2,6166.2,7608.26,7608.26,5833.8,1774.46,0.0,0.0,0.0,400.87,0.0,1.0,Individual,0.0,0.0,66308.0,1.0,3.0,1.0,5.0,6.0,48147.0,84.0,1.0,2.0,4944.0,68.0,39700.0,3.0,0.0,1.0,7.0,8289.0,18648.0,41.7,0.0,0.0,68.0,95.0,7.0,6.0,0.0,71.0,6.0,0.0,3.0,4.0,3.0,5.0,9.0,5.0,13.0,4.0,8.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,97335.0,66308.0,32000.0,57635.0,N,N,low_risk
35000.0,0.11019999999999999,761.34,RENT,95000.0,Not Verified,n,26.4,0.0,1.0,13.0,1.0,19067.0,39.0,w,27671.86,27671.86,12889.21,12889.21,7328.14,5561.07,0.0,0.0,0.0,761.34,0.0,1.0,Individual,0.0,0.0,257648.0,0.0,3.0,0.0,1.0,16.0,113994.0,56.0,1.0,2.0,6654.0,50.0,37100.0,0.0,0.0,2.0,4.0,19819.0,10169.0,60.7,0.0,0.0,231.0,94.0,8.0,7.0,1.0,23.0,6.0,0.0,4.0,6.0,5.0,5.0,25.0,8.0,11.0,6.0,13.0,0.0,0.0,0.0,2.0,100.0,20.0,1.0,0.0,298118.0,133061.0,25900.0,126853.0,N,N,low_risk
8500.0,0.0819,267.11,MORTGAGE,83500.0,Not Verified,n,51.39,0.0,0.0,17.0,0.0,8689.0,49.0,w,0.0,0.0,9200.64,9200.64,8500.0,700.64,0.0,0.0,0.0,5732.08,1.0,1.0,Joint App,0.0,210.0,426704.0,2.0,5.0,4.0,5.0,4.0,153782.0,77.0,3.0,3.0,6731.0,52.0,47800.0,4.0,3.0,12.0,8.0,25100.0,27211.0,24.2,0.0,0.0,177.0,245.0,9.0,4.0,4.0,9.0,5.0,0.0,4.0,4.0,8.0,15.0,26.0,10.0,19.0,4.0,17.0,0.0,0.0,0.0,7.0,100.0,25.0,0.0,0.0,516008.0,162471.0,35900.0,173158.0,N,N,low_risk
40000.0,0.0702,1235.45,RENT,253000.0,Source Verified,n,14.32,0.0,1.0,10.0,0.0,24384.0,26.0,w,0.0,0.0,41726.63,41726.63,40000.0,1726.63,0.0,0.0,0.0,33117.48,0.0,1.0,Individual,0.0,0.0,383823.0,1.0,8.0,3.0,3.0,5.0,359439.0,66.0,0.0,0.0,21513.0,74.0,28900.0,2.0,0.0,6.0,3.0,38382.0,4516.0,84.4,0.0,0.0,237.0,144.0,44.0,5.0,0.0,44.0,5.0,0.0,2.0,2.0,2.0,2.0,23.0,2.0,2.0,2.0,10.0,0.0,0.0,0.0,3.0,100.0,50.0,0.0,0.0,405004.0,383823.0,28900.0,376104.0,N,N,low_risk
